Size,Cores,Memory
Standard_A0,1,0.75
Standard_A1,1,1.75
Standard_A2,2,3.5
Standard_A3,4,7
Standard_A4,8,14
Standard_A5,2,14
Standard_A6,4,28
Standard_A7,8,56
Standard_A8,8,56
Standard_A9,16,112
Standard_A10,8,56
Standard_A11,16,112
Standard_A1_v2,1,2
Standard_A2_v2,2,4
Standard_A4_v2,4,8
Standard_A8_v2,8,16
Standard_A2m_v2,2,16
Standard_A4m_v2,4,32
Standard_A8m_v2,8,64
Basic_A0,1,0.75
Basic_A1,1,1.75
Basic_A2,2,3.5
Basic_A3,4,7
Basic_A4,8,14
Standard_D1,1,3.5
Standard_D2,2,7
Standard_D3,4,14
Standard_D4,8,28
Standard_D5,16,56
Standard_D11,2,14
Standard_D12,4,28
Standard_D13,8,56
Standard_D14,16,112
Basic_D1,1,3.5
Basic_D2,2,7
Basic_D3,4,14
Basic_D4,8,28
Basic_D5,16,56
Basic_D11,2,14
Basic_D12,4,28
Basic_D13,8,56
Basic_D14,16,112
Standard_DS1,1,3.5
Standard_DS2,2,7
Standard_DS3,4,14
Standard_DS4,8,28
Standard_DS5,16,56
Standard_DS11,2,14
Standard_DS12,4,28
Standard_DS13,8,56
Standard_DS14,16,112
Standard_G1,2,28
Standard_G2,4,56
Standard_G3,8,112
Standard_G4,16,224
Standard_G5,32,448
Standard_GS1,2,28
Standard_GS2,4,56
Standard_GS3,8,112
Standard_GS4,16,224
Standard_GS5,32,448
Standard_D1_v2,1,3.5
Standard_D2_v2,2,7
Standard_D3_v2,4,14
Standard_D4_v2,8,28
Standard_D5_v2,16,56
Standard_D11_v2,2,14
Standard_D12_v2,4,28
Standard_D13_v2,8,56
Standard_D14_v2,16,112
Standard_D15_v2,20,140
Standard_DS1_v2,1,3.5
Standard_DS2_v2,2,7
Standard_DS3_v2,4,14
Standard_DS4_v2,8,28
Standard_DS5_v2,16,56
Standard_DS11_v2,2,14
Standard_DS12_v2,4,28
Standard_DS13_v2,8,56
Standard_DS14_v2,16,112
Standard_F1,1,2
Standard_F2,2,4
Standard_F4,4,8
Standard_F8,8,16
Standard_F16,16,32
Standard_F1s,1,2
Standard_F2s,2,4
Standard_F4s,4,8
Standard_F8s,8,16
Standard_F16s,16,32
Standard_F2s_v2,2,4
Standard_F4s_v2,4,8
Standard_F8s_v2,8,16
Standard_F16s_v2,16,32
Standard_F32s_v2,32,64
Standard_F64s_v2,64,128
Standard_F72s_v2,72,144
Standard_H8,8,56
Standard_H16,16,112
Standard_H8m,8,112
Standard_H16m,16,224
Standard_H16r,16,112
Standard_H16mr,16,224
Standard_NC6,6,56
Standard_NC12,12,112
Standard_NC24,24,224
Standard_NC24r,24,224
Standard_NV6,6,56
Standard_NV12,12,112
Standard_NV24,24,224
Standard_L4s,4,32
Standard_L8s,8,64
Standard_L16s,16,128
Standard_L32s,32,256
Stardard_M64s,64,1024
Stardard_M64ms,64,1792
Stardard_M128s,128,2048
